"Datum","Bundesland","Mean(temp_max_month)","Mean(temp_min_month)","Mean(snow_height_final)","Mean(sun_hours_final)","Mean(temp_final)","Mean(rr_final)"
"1974-01-01","Burgenland",10,-3.6,,30.099999999999998,2.0967741935483875,68
"1974-01-01","Kärnten",11.2,-7.8999999999999995,,93.47500000000004,-0.36451612903225794,-12.266666666666667
"1974-01-01","Niederösterreich",9.100000000000001,-6.733333333333333,,42.599999999999994,1.2107078853046593,91.76666666666665
"1974-01-01","Oberösterreich",9.55,-7.300000000000001,,29.400000000000002,0.8403225806451612,39.900000000000006
"1974-01-01","Salzburg",5.866666666666667,-11.566666666666666,,106.06666666666668,-3.4913978494623663,100.03333333333333
"1974-01-01","Steiermark",12.066666666666666,-4.966666666666668,,54.83333333333334,1.1526881720430107,19.466666666666665
"1974-01-01","Tirol",11.4,-7.166666666666667,,71.8,0.8139784946236559,61.63333333333332
"1974-01-01","Vorarlberg",14.2,-4.3,,67.4,2.624126344086019,105.00000000000001
"1974-01-01","Wien",10.066666666666666,-4.1000000000000005,,33.6,2.119758064516129,71.88888888888887
"1974-02-01","Burgenland",14.6,-3.6,,70.5,4.9678571428571425,5.299999999999999
"1974-02-01","Kärnten",10.333333333333332,-6.2333333333333325,,80.70000000000002,1.0154761904761904,9.966666666666669
"1974-02-01","Niederösterreich",14.433333333333334,-5,,61.00000000000001,3.3037202380952393,13.566666666666668
"1974-02-01","Oberösterreich",12.65,-4.95,,65,2.698214285714286,23.049999999999997
"1974-02-01","Salzburg",5.4,-12.766666666666667,,86.73333333333333,-4.4785714285714295,51.56666666666667
"1974-02-01","Steiermark",15.566666666666666,-3.5999999999999996,,80.4,4.279761904761905,3.3666666666666663
"1974-02-01","Tirol",13.133333333333333,-4.166666666666668,,104.49999999999999,3.6714285714285713,25.299999999999997
"1974-02-01","Vorarlberg",16.65,-4.8,,62.000000000000014,3.359374999999999,87.14999999999999
"1974-02-01","Wien",12.866666666666665,-3.9333333333333327,,66,4.539484126984128,4.9
"1974-03-01","Burgenland",24.5,-2.5,,147.50000000000006,8.819354838709678,-9.7
"1974-03-01","Kärnten",18.033333333333335,-6.666666666666666,,122.74999999999999,3.395698924731183,63.66666666666667
"1974-03-01","Niederösterreich",23.200000000000003,-5.3,,138,6.666084229390681,9.366666666666665
"1974-03-01","Oberösterreich",21.4,-5.35,,156.10000000000002,6.525806451612903,2.299999999999999
"1974-03-01","Salzburg",10.333333333333334,-12.033333333333333,,142.66666666666669,-1.8505376344086009,43.3
